Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
53;"""Os Normais""";José Alvarenga Jr.;Missão Impossível Cinco Produções Artísticas;RJ;out/03;2003;2,996,467
54;"""Robin Hood e o Trapalhão da Floresta""";J.B. Tanko;J.B.Tanko Filmes;RJ;jul/74;1974;2,978,767
55;"""Cilada.com""";José Alvarenga Jr.;Casé Filmes Ltda.;RJ;jul/11;2011;2,959,460
56;"""Independência ou Morte""";Carlos Coimbra;Cinedistri;SP;set/72;1972;2,924,494
57;"""Os Heróis Trapalhões""";José Alvarenga Jr e Wilton Franco;Renato Aragão Produções Artísticas;RJ;jun/88;1988;2,905,721
58;"""Jeca e seu Filho Preto""";Pio Zamuner e Berilo Faccio;PAM Filmes;SP;abr/78;1978;2,872,881
59;"""Super Xuxa Contra o Baixo Astral (1)""";Ana Penido, David So;Dreamvision;RJ;dez/88;1988;2,816,000
60;"""Roberto Carlos a 300 Km por Hora""";Roberto Farias;Produções Cinematográficas R. F. Farias;RJ;dez/71;1971;2,785,922
61;"""Vai que Dá Certo""";Maurício Farias;Fraiha Produções de Eventos e Editora Ltda;RJ;mar/13;2013;2,729,340
62;"""Um Caipira em Bariloche""";Pio Zamuner e Mazzaropi;PAM Filmes;SP;jan/73;1973;2,720,345
63;"""O Grande Xerife""";Pio Zamuner;PAM Filmes;SP;jan/72;1972;2,693,271
64;"""Os Fantasmas Trapalhões""";J.B. Tanko;Renato Aragão Produções Artísticas;RJ;jun/87;1987;2,689,380
65;"""Xuxa e os Duendes""";Paulo Sérgio Almeida e Rogério Gomes;Diler & Associados;RJ;dez/01;2001;2,657,091
66;"""Meu Passado Me Condena 2""";Julia Rezende;Atitude Produções e Empreendimentos;RJ;jul/15;2015;2,639,935
67;"""Roberto Carlos e o Diamante Cor de Rosa""";Roberto Farias;Produções Cinematográficas R. F. Farias;RJ;jul/70;1970;2,639,174
68;"""A Viúva Virgem""";Pedro Carlos Rovai;Sincrocine;RJ;abr/72;1972;2,635,962
69;"""Amada Amante""";Cláudio Cunha;Kinema Filmes;SP;jul/78;1978;2,610,538
70;"""Os Trapalhões no Auto da Compadecida""";Roberto Farias;Renato Aragão Produções Artísticas;RJ;jun/88;1988;2,610,371
71;"""Os Farofeiros""";Roberto Santucci ;Camisa Listrada/Panorama Filmes;RJ;mar/18;2018;2,604,658
72;"""E Aí, Comeu?""";Felipe Joffily;Casé Filmes  ;RJ;jun/12;2012;2,578,599
73;"""Aladim e a Lâmpada Maravilhosa""";J.B. Tanko;Jarbas Barbosa Produções Cinematográficas;RJ;jan/74;1974;2,573,241
74;"""Uma Escola Atrapalhada (1)""";Antonio Rangel;Renato Aragão Produções Artísticas;RJ;jun/90;1990;2,571,095
75;"""Betão Ronca Ferro""";Geraldo Miranda;PAM Filmes;SP;jan/71;1971;2,568,475
76;"""Os Penetras""";Andrew Waddington;Conspiração Filmes S/A;RJ;nov/12;2012;2,548,441
77;"""Carrossel, O Filme""";Alexandre Boury, Mauricio Eça;Paris Produções Cinematográficas;RJ;jul/15;2015;2,537,628
78;"""Carrossel 2 - O Sumiço de Maria Joaquina""";Mauricio Eça;Paris Produções;SP;jul/16;2016;2,525,328
79;"""Pixote, a Lei do mais Fraco""";Hector Babenco;HB Filmes;SP;set/80;1980;2,520,468
80;"""Os Trapalhões e o Mágico de Oroz""";Vitor Lustosa e Dedé Santana;Renato Aragão Produções Artísticas;RJ;jun/84;1984;2,465,898
81;"""A Filha dos Trapalhões""";Dedé Santana;Renato Aragão Produções Artísticas;RJ;dez/84;1984;2,462,034
82;"""Tropa de Elite""";José Padilha;Zazen Produções Audiovisuais;RJ;out/07;2007;2,417,754
