Listagem de Filmes Brasileiros com mais de 500.000 Espectadores 1970 a 2018;;;;;;;
;;;;;;;
#;Título da obra;Direção;Produtora;UF;Estreia;Ano de Lançamento;Público
233;"""O Anjo Loiro""";Alfredo Sternheim;Brasecran;SP;nov/73;1973;1,036,990
234;"""Paixão de um Homem""";Egídio Eccio;E. C. Filmes;SP;nov/72;1972;1,033,912
235;"""Isto É Pelé""";Luiz Carlos Barreto;LC Barreto;RJ;mai/74;1974;1,029,452
236;"""Didi, o Caçador de Tesouros""";Marcus Figueiredo;Diler & Associados;RJ;jan/06;2006;1,024,732
237;"""Teixeirinha a Sete Provas""";Milton Barragan;Teixeirinha Produções Artísticas;RS;nov/72;1972;1,020,530
238;"""Dezenove Mulheres e um Homem""";David Cardoso;Dacar Produções Cinematográficas;SP;mai/77;1977;1,018,727
239;"""Cassy Jones, o Magnífico Sedutor""";Luiz Sérgio Person;Lauper Filmes;SP;dez/72;1972;1,016,128
240;"""Atrapalhando a Suate""";Vitor Lustosa e Dedé Santana;Demuza Cinema;RJ;dez/83;1983;1,012,654
241;"""A Força dos Sentidos""";Jean Garret;Kinema Filmes;SP;mai/80;1980;1,012,532
242;"""O Sexo Mora ao Lado""";Ody Fraga;Brasecran;SP;set/75;1975;1,011,976
243;"""Costinha, o Rei da Selva""";Alcino Diniz;Commander Filmes;RJ;fev/76;1976;1,007,977
244;"""Xuxa Gêmeas""";Jorge Fernando;Diler & Associados;RJ;dez/06;2006;1,007,490
245;"""Amadas e Violentadas""";Jean Garret;Dacar Produções Cinematográficas;SP;mar/76;1976;1,004,447
246;"""Como Era Gostoso o meu Francês""";Nelson Pereira dos Santos;LC Barreto;RJ;jan/72;1972;991,138
247;"""O Inseto do Amor""";Fauzi Mansur;J. Dávila Produções;SP;jun/80;1980;990,220
248;"""Ascenção e Queda de um Paquera""";Victor Di Mello;Bennio Produções Cinematográficas;RJ;set/70;1970;990,078
249;"""O Sexualista""";Egídio Eccio;Grupo Internacional Cinematográfico;SP;out/76;1976;989,846
250;"""Rio Babilônia""";Neville de Almeida;CPC;RJ;mar/83;1983;987,459
251;"""Mulheres e Cavalos """;Juan Bajon;Brasil Internacional Cinematográfica;SP;1987;1987;985,517
252;"""Eu Transo, Ela Transa""";Pedro Camargo;Produções Cinematográficas R. F. Farias;RJ;nov/72;1972;985,054
253;"""O Bom Marido""";Antonio Calmon;Sincrocine;RJ;set/78;1978;983,283
254;"""Didi quer ser criança""";Alexandre Boury e Reynaldo Boury;Diler & Associados;RJ;jul/04;2004;982,175
255;"""A Batalha de Guararapes""";Paulo Thiago;Cia. Produtora Sagitarius;RJ;set/72;1972;979,034
256;"""O Casamento de Romeu e Julieta""";Bruno Barreto;Filmes do Equador;RJ;mar/05;2005;969,278
257;"""A Filha do Padre""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;mai/75;1975;967,771
258;"""Irmãos de Fé""";Moacyr Góes;Diler & Associados;RJ;set/04;2004;966,021
259;"""Orfeu""";Cacá Diegues;Rio Vermelho Filmes;RJ;abr/99;1999;961,961
260;"""Pobre João""";Pereira Dias;Teixeirinha Produções Artísticas;RS;abr/75;1975;956,475
261;"""Alemão""";José Eduardo Belmonte;CAMISA TREZE CULTURAL S/S LTDA;SP;mar/14;2014;955,841
262;"""O Bem Amado""";Guel Arraes;Natasha Enterprises;RJ;jul/10;2010;955,393
263;"""Linda de morrer""";Cristiane D´Amato;Migdal Produções Cinematográficas;RJ;ago/15;2015;948,542
264;"""Carmen, a Cigana""";Pereira Dias;Teixeirinha Produções Artísticas;RS;set/76;1976;945,947
265;"""Emanuelle Tropical""";J. Marreco;Empresa Cinematográfica Haway;SP;set/77;1977;945,916
266;"""Som, Amor e Curtição""";J.B. Tanko;Produções Cinematográficas R. F. Farias;RJ;mar/72;1972;941,732
267;"""Milagre, o Poder da Fé""";Hércules Breseghelo;B. H. Produções Cinematográficas;SP;mar/79;1979;941,517
268;"""A Gostosa da Gafieira""";Roberto Machado;Roberto Machado Produções Cinematográficas;RJ;abr/81;1981;940,676
269;"""Bonga, o Vagabundo""";Victor Lima;Herbert Richers Produções Cinematográficas;RJ;mar/71;1971;939,790
270;"""As Aventuras de Agamenon, o Repórter""";Victor Lopes;Tambellini Filmes;RJ;jan/12;2012;937,980
271;"""A Dama da Zona""";Ody Fraga;Kinema Filmes;SP;nov/79;1979;936,735
272;"""De todas as Maneiras """;Mário Lúcio/Marcelo Motta;Empresa Cinematográfica Rossi;SP;set/83;1983;928,352
273;"""Minha Vida em Marte""";Suzana Garcia;Capri Produções;RJ;nov/18;2018;925,411
274;"""Vai que dá certo 2""";Maurício Farias;Fraiha Produções;RJ;jan/16;2016;923,426
275;"""Traídas pelo Desejo""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;jun/76;1976;921,264
276;"""Internato das Meninas Virgens""";Osvaldo de Oliveira;Produções Cinematográficas Galante;SP;jun/77;1977;920,067
277;"""A B... Profunda """;Álvaro Moya (Gerard Dominó);Empresa Cinematográfica Haway;SP;abr/84;1984;911,818
278;"""Delícias do Sexo""";Carlos Imperial;Imperial Comunicações;RJ;mai/81;1981;911,491
279;"""Zoando na Tv""";José Alvarenga Jr.;Globo Filmes / Angélica Produções Artísticas / Lereby Produções;RJ;1999;1999;911,394
280;"""Soninha toda Pura""";Aurélio Teixeira;Jarbas Barbosa Produções Cinematográficas;RJ;mai/71;1971;906,525
281;"""Ensaio Sobre a Cegueira""";Fernando Meirelles;O2 Produções Artísticas e Cinematográficas;SP;set/08;2008;904,514
282;"""O Padre que Queria Pecar""";Lenine Otoni;Bennio Produções Cinematográficas;RJ;mai/75;1975;890,450
283;"""Detetives do Prédio Azul 2 - O Mistério Italiano""";Vivianne Jundi;Paris Produções;SP;dez/18;2018;884,775
284;"""O Beijo no Asfalto""";Bruno Barreto;LC Barreto;RJ;abr/81;1981;880,334
285;"""Um Marido Contagiante""";Carlos Alberto de Souza Barros;CASB Produções Cinematográficas;RJ;dez/77;1977;877,988
286;"""Nos Tempos da Vaselina""";José Miziara;Galante Filmes;SP;jun/79;1979;876,760
287;"""A Difícil Vida Fácil""";Alberto Pieralisi;Magnus Filmes;RJ;jul/72;1972;864,954
288;"""Guerra Conjugal""";Joaquim Pedro de Andrade;Filmes do Serro;RJ;mai/75;1975;860,355
289;"""Como Consolar Viúvas""";José Mojica Marins;Maspe Filmes;SP;nov/76;1976;854,503
290;"""Tainá - uma Aventura na Amazônia""";Tânia Lamarca e Sérgio Bloch;Tietê Produções Cinematográficas;RJ;jan/01;2001;853,210
291;"""Presídio de Mulheres Violentadas""";Osvaldo de Oliveira/ Luiz Castellini;Produções Cinematográficas Galante;SP;fev/77;1977;851,118
292;"""Torturadas Pelo Desejo""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;fev/77;1977;849,751
293;"""Lula, o Filho do Brasil""";Fábio Barreto;Filmes do Equador;RJ;jan/10;2010;848,733
294;"""Idílio Proibido""";Konstantin Thaczenko;Cinedistri;SP;mai/71;1971;847,231
295;"""Contos Eróticos""";Joaquim Pedro de Andrade, Roberto Santos, Eduardo Escorel, Roberto Palmari;Lynx Filmes;SP;set/79;1979;843,110
296;"""O Primo Basílio""";Daniel Filho;Lereby Produções;RJ;ago/07;2007;838,726
297;"""Joelma 23º Andar""";Clery Cunha;Souza Lima Produções Cinematográficas;SP;abr/80;1980;837,936
298;"""Acquaria""";Flávia Moraes;Spectra Mídia Produções e Comércio;SP;dez/03;2003;837,695
299;"""Jorge um Brasileiro""";Paulo Thiago;Encontro Produções Cinematográficas;RJ;fev/89;1989;835,743
300;"""O Predileto""";Roberto Palmari;Lynx Filmes;SP;dez/75;1975;834,892
301;"""Com as Calças na Mão""";Carlo Mossy;Vidya Produções Cinematográficas;RJ;nov/75;1975;829,650
302;"""Viagem ao Céu da Boca """;Roberto Mauro;Magnus Filmes;RJ;set/83;1983;829,555
303;"""Excitação""";Jean Garret;Maspe Filmes;SP;mai/77;1977;828,857
304;"""Um Virgem na Praça""";Roberto Machado;Roberto Machado Produções Cinematográficas;RJ;out/73;1973;827,201
305;"""Aventuras com Tio Maneco""";Flávio Migliacio;Produções Cinematográficas R. F. Farias;RJ;jul/71;1971;826,045
306;"""Eu Matei Lúcio Flávio""";Antonio Calmon;Magnus Filmes;RJ;out/79;1979;824,976
307;"""Um Pistoleiro Chamado Papaco """;Mário Vaz Filho;Olympus Films;SP;1986;1986;823,533
308;"""Amante Latino""";Pedro Carlos Rovai;Sincrocine;RJ;out/79;1979;823,382
309;"""Pura como um Anjo... Será Virgem?""";Raffaele Rossi;Panther's Cine Som;SP;abr/76;1976;817,861
310;"""Sob o Domínio do Sexo""";Tony Vieira;Brasecran;SP;ago/73;1973;816,984
311;"""Confissões de Adolescente - o Filme""";Daniel Filho e Cris D’Amato;Lereby Produções Ltda;RJ;jan/14;2014;816,971
312;"""Pesadelo Sexual de um Virgem""";Roberto Mauro;NTM Produtora e Distribuidora de Filmes;SP;mar/76;1976;815,697
313;"""Qualquer Gato Vira-lata 2""";Roberto Santucci Filho / Marcelo Antunes Braz;Tietê Produções Cinematográficas;RJ;jun/15;2015;807,827
314;"""Missão Matar""";Alberto Pieralisi;Taurus Filmes;SP;mar/72;1972;806,471
315;"""A Carne""";J. Marreco;Omega Filmes;SP;set/75;1975;804,187
316;"""Marvada Carne""";André Klotzel;Superfilmes;SP;mar/85;1985;802,451
317;"""O Mulherengo""";Fauzi Mansur;Program Films;SP;mai/77;1977;801,110
318;"""A Dama do Cine Shangai (2)""";Guilherme Almeida Prado;Star Filmes;SP;1987;1987;800,000
319;"""Amante Muito Louca""";Denoy de Oliveira;Lestepe Produções Cinematográficas;RJ;dez/73;1973;799,871
320;"""As Cangaceiras Eróticas""";Roberto Mauro;Servicine;SP;ago/74;1974;798,832
321;"""Uma Mulata Para Todos""";Roberto Machado;Roberto Machado Produções Cinematográficas;RJ;mar/75;1975;795,992
322;"""O Rei da Noite""";Hector Babenco;HB Filmes;SP;dez/75;1975;795,802
323;"""A Praia do Pecado""";Roberto Mauro;E. C. Distribuidora e Importadora Cinematográfica;SP;out/77;1977;795,210
324;"""Tropeiro Velho""";Milton Barragan;Teixeirinha Produções Artísticas;RS;mai/79;1979;793,605
325;"""As Meninas Querem, os Coroas Podem""";Osvaldo de Oliveira;Produções Cinematográficas Galante;SP;set/76;1976;789,974
326;"""Tainá 2 - a Aventura Continua""";Mauro Lima;Tietê Produções Cinematográficas;RJ;jan/05;2005;788,442
327;"""O Homem da Capa Preta""";Sérgio Resende;Morena Filmes;RJ;abr/86;1986;787,733
328;"""A Quadrilha do Perna Dura""";Pereira Dias;Teixeirinha Produções Artísticas;RS;mar/76;1976;782,268
329;"""Pornô! """;David Cardoso/ Luiz Castellini;Dacar Produções Cinematográficas;SP;jun/81;1981;779,850
330;"""O Jeca e o Bode""";Ary Fernandes;Procitel Filmes;SP;jul/72;1972;777,796
331;"""Tim Maia""";Mauro Lima;RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.;SP;out/14;2014;777,699
332;"""Zuzu Angel""";Sérgio Rezende;Toscana Audiovisual;RJ;ago/06;2006;774,318
333;"""Pensionato de Mulheres""";Clery Cunha;Cinedistri;SP;mai/75;1975;774,176
334;"""Quando as Mulheres Querem Provas""";Victor Di Mello;Bennio Produções Cinematográficas;RJ;mar/75;1975;772,692
335;"""O Trapalhão e a Luz Azul""";Paulo Aragão e Alexandre Boury;Renato Aragão Produções Artísticas;RJ;1999;1999;771,831
336;"""Oh! Que Delícia de Patrão""";Alberto Pieralisi;Vidya Produções Cinematográficas;RJ;nov/84;1984;770,448
337;"""Um Certo Capitão Rodrigo""";Anselmo Duarte;Cinedistri;SP;mai/71;1971;762,167
338;"""Sedução""";Fauzi Mansur;Brasecran;SP;dez/74;1974;761,946
339;"""Salve-se Quem Puder""";J.B. Tanko;J.B.Tanko Filmes;RJ;jan/73;1973;761,065
340;"""Corpo Devasso""";Alfredo Sternheim;Dacar Produções Cinematográficas;SP;nov/80;1980;754,899
341;"""As Amantes de um Canalha""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;set/77;1977;754,107
342;"""Gaijin - Caminhos da Liberdade""";Tizuka Yamazaki;CPC;RJ;mar/80;1980;751,422
343;"""Exorcista de Mulheres""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;jul/74;1974;748,791
344;"""Vítimas do Prazer""";Cláudio Cunha;Kinema Filmes;SP;mai/77;1977;746,294
345;"""A Ilha dos Prazeres Proibidos""";Carlos Reichenbach;Galante Filmes;SP;jan/79;1979;745,294
346;"""O Cavaleiro Didi e a Princesa Lili""";Marcus Figueiredo;Diler & Associados;RJ;dez/06;2006;742,340
347;"""Meus 15 Anos""";Caroline Fioratti;Paris Produções;SP;jun/17;2017;742,137
348;"""Garota Dourada""";Antonio Calmon;LC Barreto;RJ;dez/83;1983;739,234
349;"""Marília e Marina""";Luiz Fernando Goulart;Terra Filmes;RJ;jul/76;1976;736,213
350;"""Possuídas pelo Pecado""";Jean Garret;Dacar Produções Cinematográficas;SP;out/76;1976;733,811
351;"""Condenadas pelo Sexo""";Ismar Porto;Brasecran;SP;dez/71;1971;728,364
352;"""Vai Trabalhar, Vagabundo""";Hugo Carvana;Alter Filmes;RJ;dez/73;1973;728,164
353;"""Castelo Rá-Tim-Bum, o Filme""";Cao Hamburger;A.F. Cinema e Vídeo;SP;1999;1999;725,329
354;"""A Noite dos Bacanais""";Fauzi Mansur;Fauzi A. Mansur Cinematográfica;SP;abr/82;1982;722,951
355;"""Bordel, Noites Proibidas""";Osvaldo de Oliveira;Galante Filmes;SP;jun/80;1980;714,539
356;"""O Tempo e o Vento""";Jayme Monjardin;Nexus Cinema e Vídeo;SP;set/13;2013;711,515
357;"""Me Deixa de Quatro""";Fauzi Mansur;J. Dávila Produções;SP;set/81;1981;709,369
358;"""Essa Gostosa Brincadeira a Dois""";Victor Di Mello;Di Mello Produções Cinematográficas / Vidya Produções Cinematográficas;RJ;out/74;1974;706,976
359;"""Kuarup""";Rui Guerra;Grapho Produções Artísticas;RJ;mai/89;1989;703,939
360;"""A Filha de Emmanuele""";Osvaldo de Oliveira;Galante Filmes;SP;dez/80;1980;701,433
361;"""O Gosto do Pecado""";Cláudio Cunha;Cláudio Cunha Produções Cinematográficas;SP;dez/80;1980;699,891
362;"""As Seis Mulheres de Adão """;David Cardoso;Dacar Produções Cinematográficas;SP;nov/81;1981;699,769
363;"""O Casamento""";Arnaldo Jabor;Produções Cinematográficas R. F. Farias;RJ;dez/75;1975;699,584
364;"""Macho e Fêmea""";Ody Fraga;Grupo Internacional Cinematográfico;SP;ago/74;1974;696,284
365;"""Eu, tu, eles""";Andrucha Waddington;Conspiração Filmes;RJ;ago/00;2000;695,682
366;"""Mágoas de Caboclo""";Ary Fernandes;Procitel Filmes;SP;nov/70;1970;694,451
367;"""Terror e Êxtase""";Antonio Calmon;Arte Nova Filmes;RJ;ago/80;1980;691,213
368;"""As Audaciosas""";Mozael Silveira;Brasecran;SP;jan/76;1976;691,146
369;"""Casseta & Planeta - a Taça do Mundo é Nossa""";Lula Buarque de Hollanda;Conspiração Filmes;RJ;nov/03;2003;690,709
370;"""Inocência""";Walter Lima Junior;LC Barreto;RJ;mai/83;1983;689,439
371;"""Um Varão Entre as Mulheres""";Victor Di Mello;Bennio Produções Cinematográficas;RJ;fev/75;1975;685,779
372;"""Noite em Chamas""";Jean Garret;Maspe Filmes;SP;set/78;1978;684,357
373;"""Os Violentadores""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;abr/78;1978;683,842
374;"""O Círculo do Prazer """;Mário Vaz Filho;Antonio Meliande Produções Cinematógráficas;SP;fev/84;1984;679,809
375;"""Pra quem Fica Tchau""";Reginaldo Farias;Produções Cinematográficas R. F. Farias;RJ;jan/71;1971;674,768
376;"""O Vendedor de Sonhos""";Jayme Monjardim;Filmland Internacional;SP;dez/16;2016;673,242
377;"""Os Devassos""";Carlos Alberto de Souza Barros;CASB Produções Cinematográficas;RJ;mar/72;1972;672,987
378;"""Gaúcho de Passo Fundo""";Pereira Dias;Teixeirinha Produções Artísticas;RS;set/78;1978;671,028
379;"""Secas e Molhadas""";Mozael Silveira;Brasecran;SP;mai/75;1975;670,679
380;"""O Menino da Porteira""";Jeremias Moreira;Jere Moreira Produtora de Filmes e Video;SP;mar/09;2009;669,287
381;"""Sabendo Usar não Vai Faltar""";Francisco Ramalho Jr/Sidney Paiva Lopes;Kinoart Filmes;SP;nov/76;1976;666,268
382;"""Um namorado para minha mulher""";Júlia Rezende;Paris Produções;SP;set/16;2016;665,999
383;"""O Homem que Copiava""";Jorge Furtado;Casa de Cinema de Porto Alegre;RS;jun/03;2003;664,651
384;"""Roberta, a Moderna Gueixa do Sexo""";Raffaele Rossi;E. C. Distribuidora e Importadora Cinematográfica;SP;mar/78;1978;664,390
385;"""Uma Verdadeira História de Amor""";Fauzi Mansur;Indústria Nacional de Filmes;SP;out/71;1971;658,680
386;"""Guerra de Canudos""";Sérgio Rezende;Morena Filmes;RJ;out/97;1997;655,016
387;"""O Coronel e o Lobisomem""";Maurício Farias;Natasha Enterprises;RJ;out/05;2005;654,983
388;"""Tara - Prazeres Proibidos""";Luiz Castellini;Fauzi A. Mansur Cinematográfica;SP;nov/79;1979;654,000
389;"""Os Pilantras da Noite""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;dez/75;1975;653,554
390;"""Índia, a Filha do Sol""";Fábio Barreto;LC Barreto;RJ;ago/82;1982;651,141
391;"""A Menina e o Cavalo """;Conrado Sanchez;Ouro Nacional;SP;mar/84;1984;650,103
392;"""Escola Penal de Meninas Violentadas""";Antonio Meliande;Produções Cinematográficas Galante;SP;dez/77;1977;648,544
393;"""O Guerreiro Didi e a Ninja Lili""";Marcus Figueiredo;Diler & Associados;RJ;jun/08;2008;647,555
394;"""Ipanema Toda Nua""";Líbero Miguel;Servicine;SP;fev/72;1972;647,490
395;"""Copa de Elite""";Vitor Brandt;Glaz Entretenimento;RJ;abr/14;2014;646,224
396;"""As Mulheres Sempre Querem Mais""";Roberto Mauro;Servicine;SP;abr/75;1975;646,003
397;"""Uma Quase Dupla""";Marcus Baldini;Biônica Filmes/Paris Produções;SP;jul/18;2018;644,115
398;"""Os Amores da Pantera""";Jece Valadão;Magnus Filmes;RJ;set/77;1977;638,235
399;"""Gringo, o Último Matador / Gringo, o Matador Erótico""";Tony Vieira;Edward Freund Produções Cinematográficas;SP;fev/73;1973;636,685
400;"""Lição de Amor""";Eduardo Escorel;LC Barreto;RJ;nov/75;1975;632,084
401;"""As Loucuras de um Sedutor""";Alcino Diniz;Phoenix Filmes;RJ;jun/77;1977;631,771
402;"""Se meu Dólar Falasse""";Carlos Coimbra;Cinedistri;SP;out/70;1970;630,597
403;"""As Moças daquela Hora""";Paulo Porto;Ventania Filmes;RJ;ago/74;1974;628,213
404;"""Desquitadas em Lua de Mel""";Victor Di Mello;Di Mello Produções Cinematográficas;RJ;ago/76;1976;626,792
405;"""Nem as Enfermeiras Escapam""";André José Adler;Phoenix Filmes;RJ;jan/77;1977;625,174
406;"""O Flagrante""";Reginaldo Farias;Produções Cinematográficas R. F. Farias;RJ;dez/75;1975;620,959
407;"""A Turma da Mônica em a Princesa e o Robô""";Maurício de Sousa;Maurício de Sousa Produções Cinematográficas;SP;jan/84;1984;616,457
408;"""O Quarto da Viúva""";Sebastião de Souza;Misfilmes Produções Cinematográficas;SP;jul/76;1976;615,805
409;"""Motel""";Alcino Diniz;Placine Filmes;SP;jul/75;1975;614,327
410;"""O Estranho Vício do Dr. Cornélio""";Alberto Pieralisi;Alberto Pieralisi Filmes;RJ;dez/75;1975;613,903
411;"""Exorcismo Negro""";José Mojica Marins;Cinedistri;SP;dez/74;1974;613,488
412;"""Quando Elas Querem e Eles não""";Ary Fernandes;Lynx Filmes;SP;fev/76;1976;611,597
413;"""O Shaolin do Sertão""";Halder Gomes;ATC Entretenimentos;CE;out/16;2016;610,741
414;"""África Eterna""";Estanislau Szankovsk;Estanislau Szankovski Produções Cinematográficas;SP;nov/70;1970;597,264
415;"""Engraçadinha""";Haroldo Marinho Barbosa;Encontro Produções Cinematográficas;RJ;set/81;1981;596,851
416;"""Casseta e Planeta - seus Problemas Acabaram""";José Lavigne;Globo Filmes;RJ;set/06;2006;596,624
417;"""Xuxinha e Guto contra os monstros do espaço""";Moacyr Góes e Clewerson Saremba;Diler & Associados;RJ;dez/05;2005;596,218
418;"""Vips""";Toniko Melo;O2 Cinema Ltda.;SP;mar/11;2011;593,855
419;"""O Dia das Profissionais""";Rajá de Aragão;Cobrafilmes;SP;ago/76;1976;593,106
420;"""Meu Tio Matou um Cara""";Jorge Furtado;Casa de Cinema de Porto Alegre;RS;dez/04;2004;591,12
421;"""As Escandalosas""";Miguel Borges;Futurama Cinematográfica;RJ;ago/70;1970;590,571
422;"""República dos Assassinos""";Miguel Faria Jr;Roma Filmes do Brasil;RJ;nov/79;1979;588,026
423;"""Elas São do Baralho""";Silvio de Abreu;Cinedistri;SP;set/77;1977;587,005
424;"""Palácio de Vênus""";Ody Fraga;Maspe Filmes;SP;mar/81;1981;586,642
425;"""Tô na tua, ô Bicho""";Raul Araujo;Trevo Produções e Promoções;SP;set/71;1971;586,076
426;"""Rancho Fundo""";Osvaldo de Oliveira;Servicine;SP;mai/71;1971;582,517
427;"""Pensionato das Vigaristas""";Osvaldo de Oliveira;Produções Cinematográficas Galante;SP;dez/77;1977;581,13
428;"""Com um Grilo na Cama""";Gilvan Pereira;Gilvan Pereira Filmes;RJ;jan/76;1976;580,971
429;"""O Candidato Honesto 2""";Roberto Santucci ;Camisa Listrada;RJ;ago/18;2018;580,568
430;"""24 Horas de Sexo Explícito """;José Mojica Marins;Fotocena Filmes;SP;mai/85;1985;577,022
431;"""Desejo Selvagem - Massacre no Pantanal""";David Cardoso;Dacar Produções Cinematográficas;SP;set/79;1979;575,473
432;"""Sede de Amar/ Capuzes Negros""";Carlos Reichenbach;Nefer Produções Cinematográficas;SP;fev/79;1979;574,435
433;"""As Mulheres do Sexo Violento""";Francisco Cavalcanti;NTM Produtora e Distribuidora de Filmes;SP;nov/76;1976;572,963
434;"""Embalos Alucinantes / Troca de Casais""";José Miziara;Cinedistri;SP;jun/79;1979;571,823
435;"""Amor em Quatro Tempos""";Vander Sílvio;Jonas Garret Produções Cinematográficas;SP;set/70;1970;570,971
436;"""As Garimpeiras do Sexo""";José Vedovato;Dail Produções Cinematográficas;SP;jun/77;1977;570,842
437;"""Tara das Cocotas na Ilha do Pecado""";Antonio Bonacin Thomé;Interlab Som e Imagem;SP;ago/80;1980;570,48
438;"""Era uma Vez...""";Breno Silveira;Conspiração Filmes;RJ;jul/08;2008;570,47
439;"""Bacanal das Colegiais""";Juan Bajon;Brasil Internacional Cinematográfica;SP;set/83;1983;568,138
440;"""Karina, Objeto de Prazer""";Jean Garret;Brasil Internacional Cinematográfica;SP;ago/72;1972;567,244
441;"""Adultério, as Regras do Jogo""";Ody Fraga;Regino Filmes;SP;fev/75;1975;567,049
442;"""Oh! Rebuceteio! """;Cláudio Cunha;Cláudio Cunha Produções Cinematográficas;SP;out/84;1984;566,93
443;"""Mais Forte que o Mundo - A História de José Aldo""";Afonso Poyart;"Black Maria; Paris Produções";SP;jun/16;2016;565,916
444;"""Beijo na Boca""";Paulo César Almeida;Sincrocine;RJ;nov/82;1982;562,851
445;"""A Menina do Lado""";Alberto Salvá;Alberto Salvá Produções Artísticas;RJ;1987;1987;562,365
446;"""Sete Mulheres para um Homem Só""";Mozael Silveira;Brasecran;SP;jan/77;1977;560,035
447;"""Elis""";Hugo Prata;Bravura Cinematográfica;SP;nov/16;2016;559,862
448;"""Um Tio Quase Perfeito""";Pedro Antônio;Morena Filmes;RJ;jun/17;2017;559,584
449;"""Eu fico loko""";Bruno Garotti;Ananã Produções;RJ;jan/17;2017;559,431
450;"""Jango""";Silvio Tendler;Caliban Produções Cinematográficas;RJ;mar/84;1984;558,313
451;"""Ladrão de Bagdá, o Magnífico""";Victor Lima;Victor Éboli Produções Cinematográficas;RJ;dez/75;1975;557,13
452;"""Boneca Cobiçada """;Raffaele Rossi;Panther's Cine Som;SP;dez/80;1980;556,351
453;"""A Ilha das Cangaceiras Virgens""";Roberto Mauro;Manaus Filmes;SP;jun/76;1976;552,485
454;"""Dedé Mamata""";Dodô Brandão;CDK;RJ;1988;1988;550,786
455;"""Os Garotos Virgens de Ipanema""";Osvaldo de Oliveira;Servicine;SP;mai/73;1973;547,454
456;"""Bacanal do Terceiro Grau """;Arlindo Ponzio;Ponzio Produções Cinematográficas;SP;dez/81;1981;546,535
457;"""A Mulher que Inventou o Amor""";Jean Garret;E. C. Distribuidora e Importadora Cinematográfica;SP;out/80;1980;546,007
458;"""Bem Casados""";Aluízio Abranches;Lama Filmes LTDA;RJ;dez/15;2015;545,829
459;"""Sexo Proibido """;Antonio Meliande;Estanislau Szankovski Produções Cinematográficas;SP;jul/84;1984;545,643
460;"""O Porão das Condenadas""";Francisco Cavalcanti;Platéia Filmes;SP;out/79;1979;544,463
461;"""O Poderoso Garanhão""";Antonio Bonacin Thomé;E. C. Distribuidora e Importadora Cinematográfica;SP;dez/73;1973;544,277
462;"""Taradas no Cio""";Roberto Mauro;Adra Produtora de Filmes;SP;fev/84;1984;542,762
463;"""Bandido, a Fúria do Sexo""";David Cardoso;Dacar Produções Cinematográficas;SP;fev/78;1978;541,901
464;"""Tati a Garota""";Bruno Barreto;LC Barreto;RJ;abr/73;1973;541,256
465;"""Aqui Tarados!""";David Cardoso, John Doo, Ody Fraga;Dacar Produções Cinematográficas;SP;abr/81;1981;540,186
466;"""Um Marido Sem .... É Como um Jardim sem Flores""";Alberto Pieralisi;Alberto Pieralisi Filmes;RJ;abr/72;1972;539,225
467;"""Gregório Volta Para Matar""";Rubens da Silva Prado;R.S. Prado Produtora e Distribuidora;SP;nov/73;1973;536,535
468;"""Os Imorais""";Geraldo Vietri;E. C. Distribuidora e Importadora Cinematográfica;SP;ago/79;1979;536,117
469;"""Assim era a Atlântida""";Carlos Manga;Atlântida Cinematográfica;RJ;out/75;1975;536,083
470;"""Golpe Sexy""";Gyula Koslovary;Factor 7;SP;mai/76;1976;534,369
471;"""O Fraco do Sexo Forte""";Osiris Parcifal de Figueroa;Osiris Parcifal de Figueroa Cinemas e Diversões;RJ;mar/75;1975;534,125
472;"""As Gatinhas""";Astolfo Araujo;Servicine;SP;out/70;1970;533,213
473;"""Feliz Ano Velho""";Roberto Gervitz;Tatu Filmes;SP;1987;1987;532,756
474;"""Turma da Mônica em uma Aventura no Tempo""";Maurício de Sousa;Diler & Associados;RJ;fev/07;2007;531,656
475;"""Karla Sedenta de Amor""";Ismar Porto;Brasecran;SP;set/74;1974;531,395
476;"""Mais ou Menos Virgem""";Mozael Silveira;Urânio Filmes;SP;dez/74;1974;529,742
477;"""Chumbo Quente""";Clery Cunha;Profilbrás Cinematográfica;SP;abr/78;1978;529,448
478;"""Os Depravados""";Tony Vieira;Mauri de Oliveira Produtora e Distribuidora de Filmes;SP;dez/78;1978;527,147
479;"""Ainda Agarro esse Machão""";Edward Freund;Brasecran;SP;dez/75;1975;526,941
480;"""O Grande Gozador""";Victor Di Mello;Bennio Produções Cinematográficas;RJ;set/72;1972;526,689
481;"""Diário de uma Prostituta""";Edward Freund;Edward Freund Produções Cinematográficas;SP;jun/80;1980;526,612
