"""Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2018""";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Renda (R$);Público ;;;;
2018;B1800228200000;"""Auto De Resistência""";Luiz Gandelman Carvalho/Natasha Brusaferro Riquelme Elbas Neri;Documentário;"""Kinofilme""";RJ;""" -"""; -;Arthouse;13;"""39835""";2,94;;;;
2018;B1700278300000;"""Baronesa""";Juliana Antunes Coutinho Morais;Documentário;"""Ventura Filmes""";RJ;"""Filmes de Plástico""";MG;Vitrine Filmes;28;"""48365""";6,344;;;;
2018;B1800106900000;"""Benzinho""";Gustavo Pizzi;Ficção;"""Bubbles Project""";RJ;"""TV Zero/Baleia Filmes/Telecine/Canal Brasil""";RJ;Vitrine Filmes;43;"""597147""";39,284;;;;
2018;B1700353800000;"""Berenice Procura""";Allan Fiterman;Ficção;"""EH! Filmes""";RJ;"""Canal Brasil/Bebinho Salgado 45/Naymar/Afinal Filmes""";RJ/PE/RJ/RJ;H2O Films;25;"""92563""";6,138;;;;
2018;B1700402100000;"""Blitz""";Rene Tada Brasil;Ficção;"""Kinoosfera Filmes""";SP;""" -"""; -;Pandora;1;"""111""";11;;;;
2018;B1800387300000;"""Boca De Loba""";Barbara Cabeca Rangel;Ficção;"""Lambeolhos Produções""";CE;""" -"""; -;Olhar Distribuição;1;"""994""";117;;;;
2018;B1800077400000;"""Bonifácio, O Fundador Do Brasil""";Mauro Cesar Ventura Alves;Documentário;"""Ivin Films""";RJ;""" -"""; -;Ivin Films;11;"""86109""";3,749;;;;
2018;B1800218400000;"""Bravas Donnas ? Memória Italiana""";Adriana Da Silva;Documentário;"""Filmland Internacional""";SP;""" -"""; -;Latinamerica Entretenimento Internacional;1;"""2680""";103;;;;
2018;B1700013000000;"""Café Com Canela""";Ary Rosa Duarte/Glenda Nicacio;Ficção;"""Rosza Filmes Produções""";BA;""" -"""; -;Arco Audiovisual;17;"""120842""";10,523;;;;
2018;B1700349900000;"""Caminho Do Mar""";Paulo Roberto Abrantes;Documentário;"""Bang Filmes""";RJ;""" -"""; -;Bang Filmes;2;"""7242""";1,037;;;;
2018;B1700606900000;"""Camocim""";Fellipe Fernandes/Quentin Delaroche;Documentário;"""Ponte Produtoras""";PE;""" -"""; -;Vitrine Filmes;30;"""10810""";1,572;;;;
2018;B1800073300000;"""Canastra Suja""";Caio Soh;Ficção;"""Cinema Bruto""";RJ;"""Ricardo Augusto Simões/Bianca Bin/Canal Brasil/Marco Ricca/MBrichta Produções Artísticas/Mistika/Taregue Produções Artísticas""";SP/RJ/RJ/SP/RJ;Arthouse;23;"""27185""";2,071;;;;
2018;B1700560500000;"""Cartas Para Um Ladrão De Livros""";Caio Chatagnier Cavechini/Carlos Juliano M, F, T, Barros;Documentário;"""Boutique Filmes""";SP;"""Globo Filmes""";RJ;Boutique Filmes;4;"""5592""";359;;;;
2018;B1800264200000;"""Carvana""";Luelane Maria Loiola Corrêa;Documentário;"""Mac Comunicacão""";RJ;""" -"""; -;Mac Comunicação;6;"""7506""";689;;;;
2018;B1800482700000;"""Chacrinha, O Velho Guerreiro""";Andrucha Waddington;Ficção;"""Globo Filmes/Media Bridge""";RJ;"""Conspiração Filmes/José Bonifácio de Oliveira Sobrinho""";RJ;Paris;270;"""529851""";36,195;;;;
2018;B1800184900000;"""Chega De Fiu Fiu""";Amanda K, Lemos/Fernanda Alves Frazao;Documentário;"""Brodagem Filmes""";SP;""" -"""; -;Taturana;4;"""13061""";884;;;;
2018;B1700249500000;"""Comboio De Sal E Açúcar""";Licinio Azevedo;Ficção;"""Panda Filmes""";RS;""" -"""; -;Livres Distribuidora;19;"""40467""";3,13;;;;
2018;B1700468400000;"""Como É  Cruel Viver Assim""";Júlia Rezende;Ficção;"""Morena Filmes""";RJ;""" -"""; -;H2O Films;38;"""75055""";5,181;;;;
